name,phoneNumber,email,amount
Staffard,7093825545,sfoxley0@ehow.com,179.08
Hilarius,1818149268,harlow1@unblog.fr,1583.17
Ruthanne,5429252326,rnajera2@msn.com,1690.33
Wilfred,8565002913,wrathe3@arstechnica.com,1246.23
Isador,4167961584,imeininking4@xinhuanet.com,1354.97
Morgan,8403886958,mtownes5@forbes.com,545.95
Frederich,3088133245,farkell6@soundcloud.com,1354.79
Ania,7726405663,acrayke7@bizjournals.com,1718.64
Amie,6936221600,abeininck8@networksolutions.com,763.1
Leslie,3915333545,litskovitz9@sogou.com,1714.72
